timestamp,device,usage_category,prompt_length,session_length_minutes,satisfaction_rating,assistant_model,tokens_used
2025-02-08 14:05:00,Tablet,Daily Tasks,102,4.9,3,GPT-5.1,585
2025-02-03 13:26:00,Mobile,Research,142,14.49,4,GPT-5.1,634
2025-02-04 04:54:00,Mobile,Daily Tasks,125,12.19,1,GPT-5,429
2025-02-19 19:53:00,Tablet,Writing,20,19.33,3,GPT-5,616
2025-03-22 14:22:00,Mobile,Daily Tasks,162,3.2,2,GPT-5.1,1314
2025-03-30 07:49:00,Mobile,Productivity,152,10.81,5,GPT-5,1217
2025-03-19 22:16:00,Desktop,Research,25,6.33,5,GPT-5.1,523
2025-01-11 18:24:00,Desktop,Productivity,192,4.0,2,o1,454
2025-01-28 14:37:00,Mobile,Productivity,133,13.41,3,o1,773
2025-03-10 03:00:00,Mobile,Research,21,6.38,3,GPT-4o,1033
2025-02-19 02:20:00,Mobile,Research,100,1.62,1,GPT-5,289
2025-01-31 02:08:00,Tablet,Coding,168,12.1,2,GPT-4o,1094
2025-01-29 00:10:00,Mobile,Education,59,8.95,2,GPT-5,1424
2025-01-11 12:49:00,Mobile,Writing,186,7.56,4,GPT-5,1269
2025-01-30 22:01:00,Mobile,Daily Tasks,86,2.72,2,GPT-4o,831
2025-02-07 23:22:00,Desktop,Education,49,8.19,2,Mini,493
2025-02-07 10:23:00,Desktop,Productivity,74,17.63,5,GPT-5.1,498
2025-02-19 09:18:00,Mobile,Coding,107,8.78,1,o1,1117
2025-01-25 13:39:00,Desktop,Research,139,2.04,4,GPT-4o,693
2025-01-19 12:52:00,Mobile,Writing,185,9.24,2,GPT-4o,177
2025-03-21 21:02:00,Tablet,Productivity,43,8.84,5,GPT-5,1022
2025-02-06 11:22:00,Desktop,Daily Tasks,192,11.41,4,GPT-4o,224
2025-01-23 22:15:00,Desktop,Education,107,8.67,5,GPT-5,1480
2025-02-27 05:03:00,Desktop,Daily Tasks,29,3.32,1,o1,637
2025-02-18 19:24:00,Desktop,Coding,185,7.28,5,GPT-4o,526
2025-02-21 21:07:00,Mobile,Daily Tasks,73,5.72,1,GPT-4o,101
2025-01-20 22:28:00,Mobile,Productivity,126,7.9,1,GPT-5.1,268
2025-03-07 02:01:00,Tablet,Writing,141,13.74,2,GPT-5.1,1422
2025-01-18 07:21:00,Mobile,Writing,7,4.21,4,GPT-5.1,814
2025-03-17 06:38:00,Mobile,Daily Tasks,48,21.24,2,GPT-5,1354
2025-02-08 03:56:00,Tablet,Productivity,138,9.2,1,Mini,1434
2025-02-06 19:44:00,Desktop,Productivity,68,12.15,4,GPT-4o,92
2025-02-04 23:08:00,Desktop,Research,6,11.08,5,GPT-5,583
2025-02-08 01:36:00,Desktop,Research,9,8.95,3,Mini,1260
2025-03-01 21:05:00,Mobile,Productivity,166,10.1,1,o1,753
2025-02-14 16:51:00,Mobile,Productivity,34,0.56,4,GPT-5,773
2025-01-12 09:54:00,Desktop,Productivity,24,11.06,5,GPT-5.1,863
2025-02-20 23:19:00,Mobile,Writing,114,3.52,1,GPT-4o,1058
2025-01-25 00:44:00,Desktop,Research,28,6.65,4,GPT-4o,1409
2025-01-10 17:58:00,Mobile,Research,132,8.91,3,GPT-4o,1332
2025-03-17 14:15:00,Mobile,Daily Tasks,111,14.15,1,Mini,945
2025-01-29 03:17:00,Desktop,Productivity,131,3.52,4,GPT-5,873
2025-02-23 13:17:00,Desktop,Entertainment,100,4.99,1,Mini,554
2025-01-16 11:17:00,Mobile,Daily Tasks,156,5.5,1,GPT-4o,192
2025-01-31 12:54:00,Desktop,Productivity,130,7.96,2,o1,1069
2025-02-04 17:26:00,Desktop,Research,85,5.76,2,Mini,23
2025-01-13 01:13:00,Desktop,Productivity,7,10.14,5,GPT-4o,1053
2025-03-29 14:26:00,Smart Speaker,Productivity,58,1.67,4,GPT-4o,755
2025-01-29 01:03:00,Smart Speaker,Research,30,6.28,5,GPT-4o,1183
2025-02-22 10:41:00,Mobile,Coding,8,18.76,2,o1,1424
2025-02-20 21:31:00,Desktop,Coding,58,5.77,4,GPT-4o,838
2025-02-08 15:27:00,Smart Speaker,Writing,45,9.23,5,GPT-5.1,867
2025-02-22 16:54:00,Tablet,Education,19,12.73,4,GPT-5,741
2025-02-20 22:25:00,Mobile,Research,65,9.02,1,Mini,571
2025-01-08 04:56:00,Mobile,Entertainment,103,22.47,3,GPT-5.1,151
2025-03-02 05:12:00,Desktop,Research,39,7.4,5,GPT-5.1,65
2025-01-11 06:41:00,Desktop,Entertainment,58,10.48,4,o1,1090
2025-02-09 03:29:00,Smart Speaker,Productivity,8,8.19,4,GPT-4o,1374
2025-02-02 19:46:00,Mobile,Writing,14,16.36,1,Mini,99
2025-02-10 07:03:00,Desktop,Daily Tasks,35,5.17,2,GPT-4o,504
2025-01-07 11:18:00,Desktop,Coding,93,23.64,5,GPT-5.1,920
2025-03-05 03:01:00,Mobile,Entertainment,134,4.28,1,o1,1063
2025-02-07 16:06:00,Desktop,Research,158,19.93,1,Mini,1108
2025-01-06 11:27:00,Tablet,Writing,127,3.21,1,Mini,1047
2025-01-01 07:37:00,Tablet,Education,125,10.71,5,GPT-5,144
2025-02-18 14:34:00,Mobile,Education,187,6.95,2,GPT-5,395
2025-03-01 23:06:00,Mobile,Coding,54,12.56,5,GPT-5,714
2025-02-19 06:13:00,Mobile,Entertainment,160,9.38,1,GPT-5.1,114
2025-03-06 20:10:00,Mobile,Education,187,12.11,1,GPT-5.1,527
2025-03-10 02:35:00,Mobile,Entertainment,115,3.13,2,GPT-5,589
2025-03-20 11:26:00,Desktop,Writing,168,1.91,4,GPT-5,1467
2025-03-30 10:30:00,Mobile,Education,31,2.75,3,GPT-5,489
2025-03-21 15:09:00,Desktop,Writing,176,2.69,2,GPT-5,1457
2025-03-13 14:49:00,Mobile,Entertainment,114,3.1,1,GPT-4o,1056
2025-02-08 18:54:00,Desktop,Daily Tasks,48,4.5,2,o1,1044
2025-02-15 08:11:00,Desktop,Entertainment,17,4.47,5,GPT-5.1,1233
2025-02-25 10:39:00,Desktop,Writing,145,7.07,5,GPT-4o,1266
2025-01-16 06:01:00,Mobile,Daily Tasks,89,3.72,1,Mini,349
2025-03-02 23:43:00,Desktop,Research,65,3.94,2,Mini,642
2025-02-22 22:38:00,Smart Speaker,Writing,81,6.02,2,GPT-4o,801
2025-02-16 19:37:00,Mobile,Daily Tasks,198,13.71,1,GPT-4o,1465
2025-03-17 02:05:00,Desktop,Coding,88,5.11,5,GPT-4o,80
2025-03-03 20:16:00,Mobile,Education,20,6.74,1,GPT-4o,725
2025-03-25 22:00:00,Desktop,Coding,59,7.54,3,Mini,337
2025-03-29 21:15:00,Smart Speaker,Education,33,3.38,5,o1,326
2025-03-16 06:40:00,Mobile,Writing,138,5.48,3,GPT-4o,1147
2025-01-27 19:28:00,Tablet,Writing,161,4.18,1,Mini,318
2025-01-18 00:10:00,Desktop,Writing,168,12.87,4,GPT-4o,1194
2025-01-27 22:30:00,Mobile,Writing,128,12.17,3,GPT-5.1,1491
2025-03-06 03:09:00,Mobile,Research,154,3.87,1,Mini,1169
2025-03-19 18:52:00,Smart Speaker,Writing,86,6.65,4,GPT-5,271
2025-03-21 05:08:00,Mobile,Writing,127,10.48,2,GPT-4o,230
2025-03-03 13:24:00,Mobile,Daily Tasks,25,8.69,2,GPT-5.1,666
2025-03-03 06:59:00,Desktop,Writing,109,9.34,5,o1,835
2025-03-27 16:11:00,Desktop,Education,113,3.4,4,GPT-5,1171
2025-03-03 17:13:00,Mobile,Daily Tasks,11,19.46,3,GPT-4o,645
2025-01-13 16:30:00,Mobile,Entertainment,111,4.44,1,GPT-4o,267
2025-02-15 00:21:00,Desktop,Coding,145,4.35,5,GPT-5.1,1487
2025-02-02 06:44:00,Tablet,Education,76,2.49,3,GPT-5.1,1358
2025-02-27 07:52:00,Tablet,Productivity,111,6.21,2,Mini,988
2025-02-27 05:24:00,Desktop,Productivity,60,14.67,4,Mini,1049
2025-01-27 11:51:00,Mobile,Daily Tasks,57,8.63,1,o1,1404
2025-01-27 23:20:00,Desktop,Coding,30,6.56,5,Mini,722
2025-01-08 23:49:00,Mobile,Daily Tasks,68,11.59,3,GPT-4o,235
2025-01-27 09:25:00,Desktop,Daily Tasks,161,14.44,5,GPT-5.1,916
2025-03-16 11:51:00,Mobile,Entertainment,187,12.16,3,GPT-5,687
2025-02-28 23:04:00,Mobile,Education,128,1.5,4,GPT-5,1203
2025-03-26 21:11:00,Tablet,Entertainment,126,11.66,1,o1,1161
2025-03-25 08:50:00,Desktop,Coding,124,9.59,5,Mini,717
2025-03-19 02:44:00,Smart Speaker,Entertainment,97,3.81,2,o1,564
2025-01-17 04:07:00,Desktop,Productivity,87,9.62,4,GPT-5,644
2025-01-31 01:15:00,Desktop,Research,126,14.69,5,GPT-5.1,956
2025-01-06 04:09:00,Mobile,Coding,157,4.58,5,GPT-5.1,962
2025-01-09 10:01:00,Desktop,Research,85,12.73,3,GPT-4o,777
2025-01-21 19:05:00,Tablet,Daily Tasks,115,8.76,2,GPT-4o,807
2025-01-26 05:05:00,Tablet,Productivity,96,0.66,4,GPT-5.1,1488
2025-01-02 09:14:00,Desktop,Daily Tasks,60,6.91,3,GPT-4o,395
2025-03-17 20:31:00,Smart Speaker,Education,61,8.53,5,o1,277
2025-02-17 10:19:00,Desktop,Education,20,5.64,5,GPT-4o,1202
2025-03-01 00:33:00,Mobile,Entertainment,90,8.99,2,GPT-4o,1404
2025-02-28 19:40:00,Desktop,Writing,143,6.39,1,Mini,920
2025-03-29 00:03:00,Smart Speaker,Research,138,26.74,5,GPT-4o,614
2025-01-14 06:14:00,Desktop,Entertainment,197,5.36,2,o1,535
2025-01-31 20:11:00,Desktop,Writing,12,3.89,1,Mini,712
2025-01-28 18:06:00,Mobile,Education,153,12.31,2,GPT-4o,97
2025-02-19 15:10:00,Smart Speaker,Research,160,5.86,4,Mini,802
2025-02-17 08:34:00,Tablet,Productivity,90,6.64,4,GPT-5.1,418
2025-03-13 02:28:00,Mobile,Productivity,60,6.24,3,Mini,412
2025-02-20 10:58:00,Tablet,Productivity,74,11.86,1,Mini,849
2025-01-22 01:25:00,Tablet,Productivity,138,3.08,1,Mini,1446
2025-02-20 19:49:00,Mobile,Daily Tasks,173,12.72,3,GPT-5.1,324
2025-03-28 18:26:00,Desktop,Coding,130,10.13,5,GPT-5,1369
2025-02-22 02:20:00,Tablet,Education,105,21.28,4,Mini,788
2025-02-23 07:34:00,Mobile,Entertainment,132,8.07,2,o1,1459
2025-01-16 20:09:00,Desktop,Daily Tasks,18,3.26,5,GPT-5.1,585
2025-01-01 17:03:00,Desktop,Research,123,8.14,2,Mini,1495
2025-01-19 20:42:00,Mobile,Coding,13,8.85,5,GPT-5,996
2025-01-03 06:19:00,Desktop,Daily Tasks,192,15.53,3,Mini,1011
2025-02-10 16:51:00,Smart Speaker,Coding,178,3.25,5,o1,853
2025-03-21 09:35:00,Desktop,Education,104,2.04,1,GPT-4o,688
2025-02-10 04:58:00,Desktop,Education,77,8.25,3,GPT-4o,797
2025-02-28 01:48:00,Tablet,Productivity,147,21.88,5,GPT-5.1,1279
2025-03-19 00:08:00,Desktop,Daily Tasks,129,11.15,2,GPT-5.1,1192
2025-03-10 16:14:00,Desktop,Productivity,142,11.58,5,GPT-5.1,55
2025-02-28 13:20:00,Mobile,Productivity,105,2.44,3,GPT-4o,1048
2025-03-12 13:28:00,Tablet,Daily Tasks,51,7.33,2,GPT-5,1254
2025-01-26 06:00:00,Desktop,Entertainment,19,15.72,4,GPT-5.1,1121
2025-02-07 20:11:00,Desktop,Productivity,60,8.92,4,GPT-5.1,755
2025-02-05 21:49:00,Tablet,Entertainment,108,1.93,1,Mini,516
2025-03-13 21:00:00,Smart Speaker,Entertainment,87,7.23,1,Mini,1016
2025-02-06 18:57:00,Mobile,Daily Tasks,103,10.63,2,GPT-5.1,1002
2025-03-26 09:04:00,Desktop,Coding,59,6.68,2,Mini,573
2025-01-17 19:05:00,Desktop,Research,187,3.57,4,GPT-5.1,621
2025-01-16 11:53:00,Desktop,Education,76,12.56,5,GPT-5.1,565
2025-03-06 10:55:00,Desktop,Entertainment,170,5.2,5,GPT-5.1,86
2025-03-10 18:32:00,Mobile,Daily Tasks,81,9.51,1,GPT-4o,66
2025-03-03 02:42:00,Desktop,Research,91,7.09,5,GPT-5,142
2025-01-28 16:49:00,Mobile,Productivity,122,5.05,2,GPT-5.1,647
2025-01-01 19:43:00,Mobile,Entertainment,56,23.47,1,o1,775
2025-01-29 22:25:00,Mobile,Productivity,47,4.64,1,Mini,624
2025-02-11 23:55:00,Desktop,Research,78,7.52,2,GPT-4o,1433
2025-02-07 03:33:00,Tablet,Entertainment,161,7.08,2,GPT-5.1,352
2025-03-24 23:37:00,Mobile,Writing,33,8.11,2,GPT-4o,601
2025-03-19 17:38:00,Mobile,Productivity,90,22.36,3,Mini,386
2025-03-11 18:04:00,Desktop,Coding,136,10.64,2,Mini,463
2025-01-02 23:38:00,Desktop,Writing,142,5.02,4,GPT-5.1,884
2025-01-12 11:13:00,Smart Speaker,Entertainment,89,18.0,4,GPT-5.1,478
2025-02-09 01:16:00,Desktop,Writing,20,11.9,4,GPT-5,490
2025-02-25 22:50:00,Desktop,Education,8,5.09,5,GPT-5,1012
2025-03-03 04:54:00,Mobile,Productivity,96,16.24,2,o1,1248
2025-01-27 15:58:00,Mobile,Daily Tasks,162,2.42,1,Mini,334
2025-01-10 22:29:00,Smart Speaker,Daily Tasks,10,2.98,5,GPT-5.1,184
2025-01-30 12:50:00,Desktop,Education,178,1.82,4,GPT-5,374
2025-03-13 07:16:00,Smart Speaker,Daily Tasks,136,1.24,2,GPT-4o,874
2025-03-30 18:59:00,Desktop,Education,6,15.49,5,GPT-4o,1440
2025-03-26 18:30:00,Mobile,Research,72,8.18,1,GPT-4o,256
2025-02-23 09:23:00,Mobile,Daily Tasks,47,1.96,2,GPT-5,83
2025-01-09 04:25:00,Desktop,Daily Tasks,190,6.95,3,o1,801
2025-03-29 02:16:00,Desktop,Daily Tasks,113,13.0,4,GPT-5.1,1486
2025-01-14 18:22:00,Mobile,Productivity,68,4.04,2,GPT-4o,837
2025-01-25 03:31:00,Smart Speaker,Education,59,5.64,4,GPT-4o,1388
2025-03-29 16:03:00,Mobile,Coding,114,24.19,5,GPT-5,970
2025-02-15 08:23:00,Smart Speaker,Education,5,6.03,4,Mini,66
2025-01-18 19:22:00,Tablet,Writing,55,2.1,4,GPT-5,652
2025-02-15 04:33:00,Mobile,Research,37,4.79,1,Mini,1159
2025-01-08 02:30:00,Tablet,Entertainment,125,1.85,1,Mini,774
2025-01-29 09:52:00,Desktop,Entertainment,135,11.23,2,GPT-4o,308
2025-03-27 16:44:00,Desktop,Coding,96,3.61,4,GPT-5.1,287
2025-01-27 20:54:00,Tablet,Productivity,32,3.52,1,o1,1002
2025-03-22 08:03:00,Tablet,Productivity,77,25.62,5,GPT-5,705
2025-02-18 20:44:00,Desktop,Entertainment,169,2.72,1,GPT-4o,869
2025-03-01 00:22:00,Mobile,Writing,44,2.34,2,o1,572
2025-03-05 06:28:00,Mobile,Daily Tasks,36,3.11,1,o1,521
2025-02-19 15:05:00,Tablet,Daily Tasks,26,13.27,3,GPT-5.1,1005
2025-01-04 02:05:00,Mobile,Daily Tasks,164,10.25,3,GPT-5.1,31
2025-03-24 17:32:00,Mobile,Coding,28,4.74,1,GPT-4o,663
2025-02-12 18:03:00,Desktop,Coding,118,4.42,3,Mini,568
2025-02-28 23:55:00,Mobile,Research,199,9.72,3,GPT-5.1,1173
2025-02-19 20:22:00,Mobile,Research,130,8.4,2,GPT-4o,1098
2025-03-01 06:08:00,Tablet,Daily Tasks,85,6.32,2,Mini,650
2025-02-01 22:08:00,Mobile,Productivity,45,10.49,3,o1,408
2025-03-17 22:21:00,Desktop,Research,5,2.94,3,Mini,368
2025-01-21 04:31:00,Desktop,Productivity,35,3.65,3,GPT-5,332
2025-02-28 19:00:00,Mobile,Productivity,190,10.87,2,GPT-4o,425
2025-02-22 00:17:00,Tablet,Productivity,33,8.89,4,o1,1145
2025-02-15 07:56:00,Desktop,Productivity,8,7.3,3,o1,87
2025-01-02 23:26:00,Desktop,Writing,164,25.03,5,GPT-5.1,58
2025-02-05 01:47:00,Mobile,Research,86,12.1,3,GPT-5.1,819
2025-01-05 06:42:00,Desktop,Writing,74,4.85,5,GPT-5.1,350
2025-02-15 06:46:00,Tablet,Writing,144,3.91,2,GPT-5,1249
2025-03-03 21:33:00,Desktop,Daily Tasks,106,9.18,1,GPT-4o,1133
2025-02-17 00:33:00,Desktop,Entertainment,183,15.45,4,GPT-4o,1158
2025-03-10 03:13:00,Smart Speaker,Writing,96,1.63,4,GPT-4o,696
2025-02-02 11:23:00,Desktop,Education,144,8.73,1,Mini,667
2025-01-28 13:15:00,Desktop,Daily Tasks,176,5.57,3,GPT-4o,649
2025-02-10 07:56:00,Desktop,Education,95,8.18,5,GPT-4o,310
2025-01-21 14:55:00,Desktop,Coding,60,2.2,5,GPT-5.1,859
2025-03-14 04:02:00,Desktop,Entertainment,195,15.45,3,GPT-4o,1297
2025-03-14 21:00:00,Desktop,Productivity,49,18.26,4,GPT-4o,399
2025-02-07 11:40:00,Desktop,Research,12,11.36,5,GPT-5.1,104
2025-03-13 07:55:00,Desktop,Education,117,20.7,5,GPT-5,855
2025-01-03 07:12:00,Mobile,Research,197,5.37,3,GPT-5.1,610
2025-01-14 22:19:00,Mobile,Productivity,21,8.58,2,o1,1200
2025-01-26 11:19:00,Desktop,Entertainment,170,11.47,2,GPT-4o,1287
2025-02-04 21:54:00,Desktop,Coding,166,9.27,5,o1,1426
2025-01-21 20:33:00,Mobile,Productivity,186,5.89,2,o1,601
2025-02-16 02:19:00,Tablet,Entertainment,87,6.37,1,Mini,1354
2025-03-13 10:08:00,Tablet,Daily Tasks,54,17.18,4,GPT-5.1,194
2025-02-11 01:27:00,Desktop,Coding,104,7.04,5,GPT-5.1,571
2025-02-10 10:28:00,Desktop,Daily Tasks,32,14.87,4,GPT-5.1,413
2025-01-06 09:22:00,Desktop,Entertainment,169,6.77,3,Mini,1386
2025-01-26 05:28:00,Desktop,Coding,134,14.81,5,GPT-4o,908
2025-03-14 15:40:00,Mobile,Research,99,7.59,3,o1,561
2025-03-14 23:07:00,Mobile,Writing,105,10.83,4,GPT-5.1,245
2025-01-10 09:13:00,Desktop,Coding,143,4.29,3,Mini,1178
2025-01-02 17:30:00,Desktop,Productivity,107,8.57,5,GPT-5,989
2025-03-16 19:00:00,Mobile,Productivity,168,4.34,3,GPT-4o,1282
2025-01-16 16:22:00,Desktop,Productivity,185,5.27,4,GPT-5.1,668
2025-02-21 17:01:00,Tablet,Research,190,5.59,4,GPT-5.1,241
2025-03-16 10:13:00,Desktop,Writing,125,6.29,5,GPT-5,514
2025-03-12 20:37:00,Smart Speaker,Productivity,149,13.69,5,GPT-5,937
2025-02-19 13:24:00,Desktop,Research,65,5.12,3,GPT-4o,376
2025-02-03 21:32:00,Tablet,Productivity,12,7.96,4,GPT-5.1,124
2025-03-11 15:05:00,Smart Speaker,Daily Tasks,83,14.84,5,GPT-5,1238
2025-03-04 12:37:00,Smart Speaker,Productivity,174,10.68,4,o1,805
2025-03-17 10:27:00,Tablet,Entertainment,31,1.66,4,GPT-4o,607
2025-02-16 05:54:00,Tablet,Writing,111,2.16,4,GPT-5,838
2025-03-26 18:38:00,Mobile,Daily Tasks,42,9.39,2,GPT-5,1112
2025-03-11 06:38:00,Tablet,Education,88,4.92,5,GPT-5.1,21
2025-01-06 16:59:00,Desktop,Productivity,32,1.92,4,GPT-5.1,671
2025-01-27 10:48:00,Mobile,Education,148,4.66,3,GPT-5.1,396
2025-03-13 22:20:00,Mobile,Productivity,163,9.63,1,o1,155
2025-01-11 10:43:00,Tablet,Coding,152,5.55,4,GPT-5,73
2025-03-05 18:56:00,Mobile,Productivity,142,7.43,2,Mini,671
2025-01-31 15:38:00,Desktop,Productivity,50,5.92,5,GPT-4o,825
2025-01-19 15:10:00,Mobile,Coding,108,4.18,3,GPT-5,771
2025-02-18 14:12:00,Desktop,Coding,25,8.45,5,GPT-5.1,1178
2025-03-25 20:28:00,Desktop,Entertainment,78,1.76,3,GPT-4o,697
2025-03-22 18:56:00,Mobile,Writing,103,3.78,2,GPT-5.1,893
2025-02-06 09:04:00,Mobile,Research,135,12.07,1,Mini,1228
2025-01-01 07:58:00,Desktop,Entertainment,23,2.21,2,Mini,992
2025-03-21 21:14:00,Desktop,Productivity,163,7.16,4,GPT-5.1,1368
2025-03-22 18:04:00,Desktop,Research,94,5.23,3,GPT-5.1,347
2025-02-24 11:02:00,Desktop,Daily Tasks,176,4.86,2,GPT-5,1184
2025-02-26 13:42:00,Desktop,Education,107,12.85,4,GPT-4o,1051
2025-02-17 09:46:00,Mobile,Research,111,14.56,1,GPT-4o,882
2025-01-02 02:59:00,Desktop,Productivity,140,3.1,2,Mini,25
2025-01-15 08:34:00,Smart Speaker,Coding,164,6.33,3,o1,821
2025-01-13 21:42:00,Smart Speaker,Coding,35,1.4,5,GPT-4o,1290
2025-03-24 06:56:00,Mobile,Productivity,104,12.37,5,GPT-5.1,974
2025-01-05 11:37:00,Desktop,Daily Tasks,10,6.9,1,Mini,27
2025-02-20 02:23:00,Mobile,Education,97,2.09,1,Mini,445
2025-02-02 15:39:00,Tablet,Writing,163,3.92,3,GPT-5.1,862
2025-01-01 13:09:00,Mobile,Daily Tasks,173,2.88,1,GPT-5.1,1221
2025-03-24 17:32:00,Tablet,Productivity,60,3.75,3,Mini,678
2025-01-02 15:29:00,Mobile,Productivity,80,1.51,1,o1,1288
2025-03-19 00:31:00,Mobile,Research,112,17.06,2,GPT-4o,1197
2025-03-11 23:41:00,Desktop,Entertainment,82,3.19,1,o1,415
2025-03-13 10:21:00,Mobile,Education,39,7.15,3,GPT-4o,308
2025-01-15 13:46:00,Desktop,Daily Tasks,64,9.57,1,Mini,1356
2025-03-21 07:08:00,Mobile,Productivity,83,14.57,2,GPT-4o,892
2025-02-23 21:16:00,Tablet,Daily Tasks,106,7.33,3,GPT-4o,1276
2025-02-06 04:14:00,Desktop,Coding,184,5.85,4,GPT-4o,1384
2025-03-03 07:08:00,Mobile,Productivity,111,7.55,3,GPT-5,648
2025-01-31 17:30:00,Desktop,Writing,80,3.09,5,GPT-5,87
2025-01-26 03:25:00,Mobile,Coding,133,3.29,1,GPT-4o,1365
2025-01-26 22:34:00,Desktop,Entertainment,155,5.76,5,GPT-5.1,883
2025-02-21 05:43:00,Smart Speaker,Entertainment,88,1.12,2,GPT-5,198
2025-02-24 02:15:00,Desktop,Writing,100,4.25,3,Mini,804
2025-01-22 14:57:00,Smart Speaker,Research,47,4.99,4,o1,61
2025-01-23 02:31:00,Tablet,Coding,173,22.74,3,Mini,448
2025-03-27 04:02:00,Mobile,Education,174,15.83,2,GPT-4o,534
2025-02-16 08:08:00,Tablet,Writing,39,9.55,4,GPT-5,692
2025-03-19 09:58:00,Tablet,Daily Tasks,72,12.57,2,o1,856
2025-01-30 17:10:00,Smart Speaker,Education,58,3.27,3,GPT-4o,1262
2025-01-26 22:10:00,Desktop,Coding,184,7.69,5,GPT-5,540
2025-01-26 10:24:00,Mobile,Coding,17,11.55,2,o1,1108
2025-02-17 14:14:00,Desktop,Daily Tasks,45,3.29,1,o1,1414
2025-03-12 02:46:00,Mobile,Productivity,66,2.16,1,GPT-5,1127
2025-02-15 01:22:00,Desktop,Entertainment,114,8.87,1,Mini,396
2025-01-27 13:04:00,Mobile,Coding,53,2.36,3,GPT-5.1,1023
